TRIPID,PROGRNUMBER,STOPPOINTID,LINEID,ROUTEID,fullname,latitude,longitude
5956208,1,1073,102,102_10,"Malahide Road",53.4506925,-6.1870449999999995
5956208,2,3641,102,102_10,"Estuary Road",53.4527252778,-6.1835855556
5956208,4,3643,102,102_10,"Yellow Walls Rd",53.451237777799996,-6.169179166699999
5956208,5,3583,102,102_10,"Dublin Rd",53.4493477778,-6.1631625
5956208,6,3584,102,102_10,"Dublin Rd",53.449854444399996,-6.1598733333
5956208,7,3585,102,102_10,Malahide,53.4506330556,-6.1549913889
5956208,8,3586,102,102_10,NULL,NULL,NULL
5956208,9,3587,102,102_10,"Coast Road",53.4511272222,-6.1451075
5956208,10,3588,102,102_10,"Coast Road",53.449908888900005,-6.1407488889
5956208,11,3590,102,102_10,"Coast Road",53.4487594444,-6.1373511111
5956208,12,3589,102,102_10,"Coast Road",53.44608361109999,-6.132349444400001
5956208,13,3591,102,102_10,"Coast Road",53.444633611099995,-6.1275652778
5956208,14,3592,102,102_10,"Coast Road",53.4378791667,-6.122714444400001
5956208,15,3605,102,102_10,"Wendell Avenue",53.433968055600005,-6.1249186111
5956208,16,3606,102,102_10,"Wendell Avenue",53.4349291667,-6.1300391667
5956208,17,3607,102,102_10,"Redfern Ave",53.4349011111,-6.136286666699999
5956208,18,3608,102,102_10,"Carrickhill Rd",53.4310858333,-6.1342863889
5956208,20,3598,102,102_10,"Strand Road",53.421739444399996,-6.136095
5956208,21,4465,102,102_10,"Strand Road",53.4194716667,-6.1399558333
5956208,23,945,102,102_10,"Coast Road",53.41530944,-6.138768333
5956208,24,947,102,102_10,"Coast Road",53.40918639,-6.136328056
5956208,26,949,102,102_10,"Coast Road",53.40317167,-6.131612777999999
5956208,27,928,102,102_10,Baldoyle,53.39780167,-6.12678
5956208,28,951,102,102_10,NULL,NULL,NULL
5956208,30,953,102,102_10,NULL,NULL,NULL
5956208,31,4381,102,102_10,NULL,NULL,NULL
5956208,3,3642,102,102_10,"Estuary Road",53.45512611109999,-6.1812997222
5956208,19,3609,102,102_10,"Carrickhill Rd",53.4260852778,-6.134084166699999
5956208,22,944,102,102_10,"Coast Road",53.41724194,-6.142234722
5956208,25,948,102,102_10,"Coast Road",53.40614333,-6.134280277999999
5956208,29,952,102,102_10,NULL,NULL,NULL
5956209,28,3636,102,102_8,"Dublin Rd",53.4494225,-6.1621655556
