stopid,shortname,fullname,latitude,longitude,buses
2,Parnell Square,Parnell Square,53.3522411111,-6.263695,"38,38A,38D,38B,46A,46E"
3,Parnell Square,Parnell Square,53.3523069444,-6.2637830556,"120,122"
4,Parnell Square,Parnell Square,53.3525669444,-6.2641661111,"7,7A,7B,7D,9"
6,Parnell Square,Parnell Square,53.35274389,-6.264443056,"4,155"
7,Parnell Square,Parnell Square,53.35283611,-6.264561944,"13,140,40,40B,40D"
8,Parnell Square,Parnell Square,53.35328111,-6.265155,16
10,Parnell Square,Parnell Square,53.3533869444,-6.2653838889,"16,16C,11,1,44"
11,Dorset St,Dorset St,53.3570938889,-6.2643669444,"40B,40D,40,13"
12,Dorset St,Dorset St,53.3567888889,-6.2646230556,"11,1,122,16,44"
14,Dorset St,Dorset St,53.3585369444,-6.2627238889,"44,40B,40D,40,16,122,13,1,11"
15,Dorset St,Dorset St,53.3602511111,-6.2609730556,"11,1,13,16,33E,33,40,40D,40B,41,41B,44,41C,41D"
16,Nephin Road,Nephin Road,53.3664188889,-6.305635,122
17,Drumcondra Rd,Drumcondra Rd,53.3630669444,-6.2583980556,"13,1,11,16,33E,33,41C,41D,44,41B,41"
18,Drumcondra Rd,Drumcondra Rd,53.3658488889,-6.2559311111,"41,41B,44,41D,41C,33,33E,16,11,1,13"
19,Drumcondra Rd,Drumcondra Rd,53.3671380556,-6.2554930556,"13,1,11,16,33E,33,41C,41D,44,41B,41"
21,Drumcondra Rd,Drumcondra Rd,53.3700919444,-6.2542911111,"41B,41,44,41D,41C,33E,33,16,11,1,13"
22,Home Farm Road,Home Farm Road,53.3735669444,-6.2528480556,11
23,Home Farm Road,Home Farm Road,53.3742880556,-6.25627,11
24,Home Farm Road,Home Farm Road,53.3751530556,-6.2603261111,11
25,Home Farm Road,Home Farm Road,53.3759030556,-6.2636111111,11
27,Ballymun Road,Ballymun Road,53.3794380556,-6.266575,"11,13,155,4,9"
28,Ballymun Road,Ballymun Road,53.381575,-6.2659888889,"9,4,155,13,11"
29,Ballymun Road,Ballymun Road,53.3834838889,-6.2656630556,"11,13,155,4,9"
30,Ventry Park,Ventry Park,53.3703211111,-6.3045780556,"120,40E"
31,St. Pappin's Road,St. Pappin's Road,53.38607,-6.268805,11
32,St. Pappin's Road,St. Pappin's Road,53.3861930556,-6.27137,11
33,Glasnevin Drive,Glasnevin Drive,53.3887530556,-6.2717511111,11
35,St. Pappin's Road,St. Pappin's Road,53.3862080556,-6.2709080556,11
36,St. Pappin's Road,St. Pappin's Road,53.3861230556,-6.2678719444,11
37,Ballymun Road,Ballymun Road,53.3853469444,-6.2648788889,"11,13,155,4,9"
38,Ballymun Road,Ballymun Road,53.3822388889,-6.2655,"9,4,155,13,11"
39,Ballymun Road,Ballymun Road,53.3804161111,-6.2656488889,"11,13,155,4,9"
40,Mobhi Road,Mobhi Road,53.3766619444,-6.2646630556,"9,4,155,11"
41,Home Farm Road,Home Farm Road,53.3755561111,-6.26184,11
42,Home Farm Road,Home Farm Road,53.3746538889,-6.2574388889,11
43,Home Farm Road,Home Farm Road,53.3738611111,-6.2538730556,11
44,Drumcondra Rd,Drumcondra Rd,53.3730161111,-6.25211,"11,1,13,16C,16,16D,33,41B,41,41C,41D,44"
45,Drumcondra Rd,Drumcondra Rd,53.3698811111,-6.2541330556,"41C,41D,41,41B,44,33,16D,16C,16,13,11,1"
46,Drumcondra Rd,Drumcondra Rd,53.3671469444,-6.2553588889,"1,11,13,16,16C,16D,33,44,41B,41,41D,41C"
47,Drumcondra Rd,Drumcondra Rd,53.3639088889,-6.2572761111,"41C,41D,41,41B,44,33,16D,16C,16,13,11,1"
48,Drumcondra Rd,Drumcondra Rd,53.3623219444,-6.2587638889,"1,11,13,16,16C,16D,33,44,41B,41,41D,41C"
49,Dorset St,Dorset St,53.359955,-6.260865,"41D,41C,40,41,41B,40D,40B,44,33,16D,16C,16,13,11,1"
